Bradi1g01442	GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468
Bradi1g01450	GO:0004190, GO:0006508
Bradi1g01455	GO:0004190, GO:0006508
Bradi1g01460	GO:0004592, GO:0015940
Bradi1g01465	GO:0004190, GO:0006508
Bradi1g01470	GO:0005515
Bradi1g01480	GO:0005515
Bradi1g01487	GO:0005515
Bradi1g01500	
Bradi1g01507	GO:0006457, GO:0031072, GO:0051082
Bradi1g01520	
Bradi1g01530	
Bradi1g01546	
Bradi1g01551	GO:0043531
Bradi1g01560	GO:0005515
Bradi1g01570	GO:0009055, GO:0015035, GO:0045454
Bradi1g01580	GO:0003746, GO:0003924, GO:0005525, GO:0005622, GO:0006414
Bradi1g01590	
Bradi1g01593	
Bradi1g01594	GO:0006508, GO:0008234
Bradi1g01596	
Bradi1g01598	GO:0006508, GO:0008234
Bradi1g01600	GO:0004611, GO:0005506, GO:0006094, GO:0009055, GO:0017076, GO:0020037, GO:0022900
Bradi1g01610	GO:0009055
Bradi1g01620	
Bradi1g01630	
Bradi1g01640	GO:0003677, GO:0006355
Bradi1g01650	GO:0003677, GO:0006355
Bradi1g01656	GO:0003677, GO:0006355
Bradi1g01660	
Bradi1g01670	GO:0000775, GO:0007067
Bradi1g01683	GO:0003677, GO:0006355
Bradi1g01685	
Bradi1g01687	
Bradi1g01694	
Bradi1g01696	
Bradi1g01700	GO:0003993, GO:0016787, GO:0046872
Bradi1g01710	GO:0005885, GO:0015629, GO:0030041, GO:0034314
Bradi1g01720	GO:0005783, GO:0006886, GO:0016021
Bradi1g01730	
Bradi1g01740	GO:0007030, GO:0015031, GO:0016020
Bradi1g01750	
Bradi1g01760	
Bradi1g01770	GO:0055085
Bradi1g01780	GO:0008152, GO:0016491
Bradi1g01790	GO:0005515
Bradi1g01795	
Bradi1g01800	GO:0004072, GO:0008152, GO:0008652, GO:0009089, GO:0016597,  GO:0004072, GO:0008152, GO:0008652, GO:0016597
Bradi1g01801	GO:0003677, GO:0006355
Bradi1g01802	
Bradi1g01810	GO:0003824, GO:0009058, GO:0030170
Bradi1g01820	
Bradi1g01830	
Bradi1g01835	
Bradi1g01840	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g01847	GO:0003824, GO:0008152,  GO:0003824, GO:0008152, GO:0016705, GO:0055114
Bradi1g01860	
Bradi1g01870	
Bradi1g01873	GO:0006952
Bradi1g01877	
Bradi1g01880	GO:0003676
Bradi1g01890	
Bradi1g01900	GO:0016021, GO:0051205
Bradi1g01910	
Bradi1g01920	GO:0016788
Bradi1g01930	GO:0000159, GO:0003677, GO:0005488, GO:0007165, GO:0008601,  GO:0000159, GO:0005488, GO:0007165, GO:0008601
Bradi1g01936	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g01947	GO:0004649, GO:0005975
Bradi1g01948	GO:0004649, GO:0005975
Bradi1g01949	
Bradi1g01961	GO:0003824
Bradi1g01963	
Bradi1g01965	
Bradi1g01970	GO:0005515
Bradi1g01980	GO:0004649, GO:0005975
Bradi1g01985	GO:0005515
Bradi1g01990	GO:0006355, GO:0008270
Bradi1g02000	GO:0006813, GO:0008324
Bradi1g02010	
Bradi1g02020	GO:0003729, GO:0005506, GO:0005685, GO:0006376, GO:0009055, GO:0020037, GO:0022900
Bradi1g02030	GO:0003735, GO:0005840, GO:0006412, GO:0019843
Bradi1g02040	
Bradi1g02050	GO:0005515
Bradi1g02060	
Bradi1g02066	
Bradi1g02072	
Bradi1g02080	
Bradi1g02090	GO:0009269
Bradi1g02100	GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020
Bradi1g02111	GO:0008152, GO:0016491
Bradi1g02117	
Bradi1g02130	
Bradi1g02138	
Bradi1g02145	GO:0005515
Bradi1g02150	GO:0016491, GO:0055114
Bradi1g02160	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g02165	
Bradi1g02170	GO:0016020
Bradi1g02180	GO:0005515
Bradi1g02185	
Bradi1g02200	GO:0004869
Bradi1g02202	GO:0008289
Bradi1g02205	
Bradi1g02210	GO:0004672, GO:0004713, GO:0005509, GO:0005515, GO:0005524, GO:0006468, GO:0030247
Bradi1g02220	
Bradi1g02230	GO:0005515
Bradi1g02240	GO:0004222, GO:0005524, GO:0006508, GO:0016020, GO:0016887
Bradi1g02247	GO:0006281, GO:0006310, GO:0009378
Bradi1g02260	
Bradi1g02270	GO:0005515
Bradi1g02273	
Bradi1g02280	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g02290	GO:0004672, GO:0004713, GO:0005509, GO:0005524, GO:0006468, GO:0030247
Bradi1g02300	
Bradi1g02303	GO:0005524, GO:0006457, GO:0006950, GO:0051082
Bradi1g02304	
Bradi1g02305	
Bradi1g02310	GO:0005515
Bradi1g02327	GO:0003700, GO:0006355, GO:0043565
Bradi1g02338	
Bradi1g02350	GO:0008270, GO:0016491, GO:0055114
Bradi1g02361	
Bradi1g02370	GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085
Bradi1g02380	GO:0004497, GO:0006744, GO:0016709, GO:0050660, GO:0055114, GO:0071949
Bradi1g02390	GO:0005515, GO:0008270
Bradi1g02400	GO:0003690, GO:0005739, GO:0006355
Bradi1g02410	GO:0003676, GO:0046872
Bradi1g02420	GO:0008519, GO:0015696, GO:0016020, GO:0072488
Bradi1g02430	
Bradi1g02440	GO:0004672, GO:0004674, GO:0004713, GO:0005524, GO:0006468, GO:0048544
Bradi1g02450	
Bradi1g02460	GO:0003677, GO:0005634, GO:0006302, GO:0006310
Bradi1g02465	GO:0005515
Bradi1g02470	
Bradi1g02475	
Bradi1g02480	GO:0003676, GO:0008270
Bradi1g02487	GO:0005515
Bradi1g02490	GO:0004514, GO:0004516, GO:0009435, GO:0019358
Bradi1g02497	
Bradi1g02505	
Bradi1g02510	GO:0005515, GO:0008270,  GO:0005515, GO:0008270, GO:0016020, GO:0016760, GO:0030244
Bradi1g02517	
Bradi1g02530	GO:0008152, GO:0016787
Bradi1g02535	GO:0005515
Bradi1g02540	
Bradi1g02550	GO:0009523, GO:0009654, GO:0015979, GO:0016020
Bradi1g02560	
Bradi1g02570	GO:0000166, GO:0003676, GO:0008270
Bradi1g02575	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114
Bradi1g02580	
Bradi1g02590	GO:0009055, GO:0022900, GO:0051536, GO:0051537
Bradi1g02593	
Bradi1g02597	GO:0000062, GO:0005515
Bradi1g02610	GO:0005515
Bradi1g02621	GO:0003677, GO:0003899, GO:0005634, GO:0006351, GO:0008270
Bradi1g02630	GO:0009055, GO:0050660
Bradi1g02635	
Bradi1g02640	GO:0003676, GO:0003677, GO:0006355, GO:0008270
Bradi1g02645	
Bradi1g02650	GO:0003676, GO:0003677, GO:0006355, GO:0008270
Bradi1g02670	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114
Bradi1g02680	GO:0005525, GO:0016817
Bradi1g02685	
Bradi1g02690	GO:0008152, GO:0016787
Bradi1g02697	GO:0003677, GO:0003824, GO:0004518, GO:0006281
Bradi1g02710	GO:0003824, GO:0008270
Bradi1g02720	
Bradi1g02730	GO:0003824, GO:0005730, GO:0006396, GO:0042254
Bradi1g02736	GO:0005506, GO:0016705, GO:0020037, GO:0055114
Bradi1g02740	GO:0003824, GO:0005730, GO:0006396, GO:0042254
Bradi1g02750	
Bradi1g02755	
Bradi1g02760	GO:0003677, GO:0005634
Bradi1g02770	
Bradi1g02780	GO:0008033, GO:0008168
Bradi1g02790	GO:0008152, GO:0008667, GO:0016491, GO:0019290, GO:0055114
Bradi1g02800	
Bradi1g02805	GO:0008152, GO:0016746
Bradi1g02810	GO:0004335, GO:0005524, GO:0005737, GO:0006012, GO:0008152, GO:0016301, GO:0016773, GO:0046835
Bradi1g02820	GO:0006508, GO:0008234
Bradi1g02830	GO:0005515
Bradi1g02840	GO:0005515
Bradi1g02853	
Bradi1g02866	GO:0005198, GO:0006886, GO:0016192, GO:0030130, GO:0030132
Bradi1g02880	GO:0005515
Bradi1g02890	GO:0005515
Bradi1g02900	GO:0005515
Bradi1g02910	
Bradi1g02920	GO:0003824, GO:0004722, GO:0006470
Bradi1g02930	GO:0005506, GO:0009055, GO:0020037, GO:0022900
Bradi1g02940	GO:0005509, GO:0005515, GO:0005783, GO:0006457, GO:0051082
Bradi1g02950	GO:0003676, GO:0008270
Bradi1g02960	GO:0005515
Bradi1g02971	
Bradi1g02980	
Bradi1g02985	
Bradi1g02990	GO:0004641, GO:0005737, GO:0006189
Bradi1g03000	
Bradi1g03010	
Bradi1g03020	GO:0003700, GO:0006355, GO:0008270, GO:0043565
Bradi1g03030	GO:0003723, GO:0005488
Bradi1g03040	
Bradi1g03050	GO:0006629
Bradi1g03056	GO:0004857
Bradi1g03070	GO:0004857
Bradi1g03080	GO:0004857
Bradi1g03090	GO:0004252, GO:0016021
Bradi1g03100	GO:0004857
Bradi1g03105	GO:0004857
Bradi1g03110	GO:0003824
Bradi1g03120	GO:0003824
Bradi1g03130	GO:0003824, GO:0008152
Bradi1g03136	GO:0005515
Bradi1g03142	GO:0005515
Bradi1g03150	
Bradi1g03160	
Bradi1g03170	
Bradi1g03180	GO:0003676, GO:0003677, GO:0003723, GO:0004386, GO:0005524, GO:0005634, GO:0008270, GO:0016787,  GO:0003676, GO:0003723, GO:0004386, GO:0005524, GO:0005634,  GO:0003676, GO:0003723, GO:0004386, GO:0005524, GO:0005634, GO:0008270,  GO:0003677, GO:0003723, GO:0004386, GO:0005524, GO:0005634, GO:0016787
Bradi1g03185	
Bradi1g03191	
Bradi1g03193	
Bradi1g03196	
Bradi1g03200	GO:0006812, GO:0015299, GO:0016021, GO:0055085
Bradi1g03207	GO:0004553, GO:0005975
Bradi1g03220	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g03230	GO:0004857
Bradi1g03235	GO:0005515
Bradi1g03240	GO:0004857
Bradi1g03245	GO:0003677, GO:0006355
Bradi1g03250	GO:0003824, GO:0008152, GO:0016788
Bradi1g03260	GO:0000162, GO:0004049, GO:0009058, GO:0016833,  GO:0009058, GO:0016833
Bradi1g03270	GO:0000166, GO:0003676, GO:0046872
Bradi1g03277	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g03283	
Bradi1g03290	
Bradi1g03298	
Bradi1g03307	GO:0005515
Bradi1g03313	GO:0003677, GO:0006355
Bradi1g03320	
Bradi1g03330	
Bradi1g03340	
Bradi1g03350	GO:0005509, GO:0007156, GO:0016020
Bradi1g03355	
Bradi1g03360	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g03363	
Bradi1g03367	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g03380	
Bradi1g03392	
Bradi1g03400	GO:0006355
Bradi1g03410	GO:0045039
Bradi1g03420	GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468
Bradi1g03440	GO:0008276
Bradi1g03450	GO:0005515
Bradi1g03461	
Bradi1g03470	GO:0005516, GO:0006950
Bradi1g03480	GO:0005215, GO:0006810, GO:0016020, GO:0055085
Bradi1g03483	
Bradi1g03484	GO:0005515
Bradi1g03486	GO:0005215, GO:0006810, GO:0016020, GO:0055085
Bradi1g03490	GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020
Bradi1g03500	GO:0005215, GO:0006810, GO:0016020, GO:0016021, GO:0055085
Bradi1g03510	GO:0004867, GO:0005576
Bradi1g03530	GO:0016020, GO:0016021, GO:0022891, GO:0055085
Bradi1g03537	GO:0004672, GO:0004713, GO:0005524, GO:0006468, GO:0030246
Bradi1g03550	GO:0006807, GO:0009039, GO:0016151, GO:0016787, GO:0016810, GO:0043419
Bradi1g03556	
Bradi1g03560	
Bradi1g03580	
Bradi1g03590	GO:0005488
Bradi1g03595	
Bradi1g03600	GO:0001510, GO:0008168, GO:0032259
Bradi1g03605	
Bradi1g03610	
Bradi1g03620	
Bradi1g03627	
Bradi1g03633	
Bradi1g03640	GO:0005576, GO:0009664
Bradi1g03650	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g03660	
Bradi1g03670	GO:0005515
Bradi1g03672	
Bradi1g03675	
Bradi1g03681	GO:0051259
Bradi1g03686	
Bradi1g03690	GO:0003824, GO:0004722, GO:0006470
Bradi1g03700	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g03710	GO:0003677, GO:0006355
Bradi1g03720	
Bradi1g03730	
Bradi1g03737	GO:0003676, GO:0008270
Bradi1g03750	GO:0003779, GO:0005622, GO:0015629, GO:0030042
Bradi1g03760	GO:0003779, GO:0005622, GO:0015629, GO:0030042
Bradi1g03770	GO:0003676, GO:0046872
Bradi1g03780	GO:0003676, GO:0046872
Bradi1g03790	GO:0003676, GO:0046872
Bradi1g03800	GO:0008641, GO:0019781, GO:0045116
Bradi1g03810	GO:0003676, GO:0046872
Bradi1g03820	GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020
Bradi1g03827	
Bradi1g03840	GO:0009813, GO:0016872, GO:0045430
Bradi1g03850	GO:0030001, GO:0046872
Bradi1g03853	
Bradi1g03856	
Bradi1g03860	GO:0005488, GO:0006508, GO:0008237, GO:0008270, GO:0019370,  GO:0006508, GO:0008237, GO:0008270
Bradi1g03867	GO:0005515
Bradi1g03880	GO:0003677, GO:0003700, GO:0006355, GO:0007275
Bradi1g03890	
Bradi1g03900	GO:0005515, GO:0006355, GO:0008270, GO:0042393
Bradi1g03910	GO:0003824, GO:0050662
Bradi1g03920	GO:0003993, GO:0016791
Bradi1g03925	GO:0008137, GO:0055114
Bradi1g03930	
Bradi1g03940	
Bradi1g03947	
Bradi1g03950	GO:0015948, GO:0050524
Bradi1g03951	
Bradi1g03953	
Bradi1g03955	
Bradi1g03956	
Bradi1g03957	
Bradi1g03961	
Bradi1g03965	
Bradi1g03972	
Bradi1g03980	
Bradi1g03990	GO:0000398
Bradi1g04000	GO:0003779, GO:0005856, GO:0030036
Bradi1g04010	
Bradi1g04015	
Bradi1g04020	
Bradi1g04030	GO:0016491, GO:0055114
Bradi1g04040	
Bradi1g04055	GO:0004519
Bradi1g04060	GO:0000917, GO:0005525
Bradi1g04070	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g04080	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g04090	
Bradi1g04097	GO:0003676, GO:0003677, GO:0005634, GO:0006351, GO:0006355, GO:0006357, GO:0008270, GO:0032784,  GO:0003676, GO:0003677, GO:0005634, GO:0006351, GO:0006355, GO:0008270
Bradi1g04110	GO:0003677, GO:0003700, GO:0006355
Bradi1g04120	GO:0003676, GO:0003723
Bradi1g04125	
Bradi1g04130	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g04140	GO:0004489, GO:0006555, GO:0055114
Bradi1g04150	GO:0003677, GO:0006355
Bradi1g04160	
Bradi1g04170	GO:0005509
Bradi1g04180	GO:0005515, GO:0008270
Bradi1g04191	
Bradi1g04200	GO:0004129, GO:0016021, GO:0055114
Bradi1g04210	GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0005694, GO:0006259, GO:0006265
Bradi1g04215	
Bradi1g04220	GO:0005525, GO:0005622, GO:0006886, GO:0007264, GO:0015031
Bradi1g04226	GO:0005515
Bradi1g04232	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Bradi1g04240	GO:0000166, GO:0003676
Bradi1g04245	GO:0000166, GO:0003676
Bradi1g04250	GO:0000413, GO:0003755, GO:0006457
Bradi1g04261	
Bradi1g04270	GO:0003676, GO:0006338, GO:0006355, GO:0031011
Bradi1g04275	
Bradi1g04280	GO:0046983
Bradi1g04286	GO:0005515
Bradi1g04287	
Bradi1g04288	GO:0005515
Bradi1g04290	
Bradi1g04292	
Bradi1g04300	GO:0005524, GO:0015979, GO:0015995, GO:0016851
Bradi1g04310	GO:0004806, GO:0006629, GO:0008152,  GO:0006629, GO:0008152
Bradi1g04320	GO:0008152, GO:0008667, GO:0016491, GO:0019290, GO:0055114
Bradi1g04330	GO:0003924, GO:0005509, GO:0005525, GO:0005622, GO:0005739, GO:0007005, GO:0007264, GO:0015031, GO:0031307,  GO:0003924, GO:0005509, GO:0005525, GO:0005622, GO:0007264, GO:0015031
Bradi1g04337	
Bradi1g04348	GO:0000166
Bradi1g04370	
Bradi1g04390	
Bradi1g04397	GO:0003777, GO:0005524, GO:0005871, GO:0007018, GO:0008017,  GO:0003777, GO:0005524, GO:0005871, GO:0007018, GO:0008017, GO:0008237
Bradi1g04410	
Bradi1g04420	
Bradi1g04430	GO:0006869, GO:0008289
Bradi1g04440	GO:0004672, GO:0004713, GO:0005509, GO:0005524, GO:0006468
Bradi1g04450	
Bradi1g04460	GO:0006464, GO:0015031
Bradi1g04470	
Bradi1g04477	
Bradi1g04490	GO:0000166
Bradi1g04500	GO:0016021, GO:0055085
Bradi1g04503	
Bradi1g04510	GO:0003700, GO:0006355, GO:0043565
Bradi1g04520	GO:0003824
Bradi1g04527	
Bradi1g04540	GO:0003824, GO:0004722, GO:0005515, GO:0006470
Bradi1g04550	GO:0005515, GO:0008270, GO:0046872
Bradi1g04561	GO:0000166, GO:0003676, GO:0003723, GO:0005634, GO:0005737, GO:0006396
Bradi1g04570	GO:0000178, GO:0003723
Bradi1g04580	GO:0008033
Bradi1g04590	GO:0016787
Bradi1g04597	
Bradi1g04603	
Bradi1g04610	
Bradi1g04620	
Bradi1g04630	
Bradi1g04641	
Bradi1g04650	
Bradi1g04660	GO:0003723, GO:0003735, GO:0005840, GO:0006412, GO:0015935
Bradi1g04670	
Bradi1g04677	GO:0005515
Bradi1g04679	
Bradi1g04683	
Bradi1g04690	GO:0009055
Bradi1g04700	GO:0009522, GO:0009538, GO:0015979
Bradi1g04710	
Bradi1g04720	
Bradi1g04730	
Bradi1g04740	GO:0005750, GO:0006122
Bradi1g04750	
Bradi1g04760	
Bradi1g04780	
Bradi1g04790	GO:0045454
Bradi1g04800	GO:0003746, GO:0005737, GO:0006414, GO:0043043
Bradi1g04810	GO:0010277, GO:0016491, GO:0051537, GO:0055114
Bradi1g04820	GO:0006465, GO:0008233, GO:0016020
Bradi1g04830	GO:0003824, GO:0008152
Bradi1g04835	
Bradi1g04840	
Bradi1g04850	GO:0016787
Bradi1g04855	
Bradi1g04860	GO:0003676, GO:0005524
Bradi1g04870	GO:0004310, GO:0008610, GO:0009058, GO:0016021, GO:0016740
Bradi1g04880	GO:0008152, GO:0016758
Bradi1g04890	GO:0008152, GO:0016758
Bradi1g04900	GO:0004310, GO:0008610, GO:0009058, GO:0016021, GO:0016740
Bradi1g04903	GO:0008152, GO:0016758
Bradi1g04907	GO:0030145, GO:0045735
Bradi1g04917	GO:0003824, GO:0008152
Bradi1g04930	GO:0006869, GO:0008289
Bradi1g04935	
Bradi1g04940	
Bradi1g04950	
Bradi1g04954	
Bradi1g04957	GO:0006486, GO:0006955, GO:0008378, GO:0016020, GO:0016757, GO:0030246
Bradi1g04963	
Bradi1g04970	GO:0003676
Bradi1g04980	
Bradi1g04990	GO:0006486, GO:0008378, GO:0016020, GO:0030246
Bradi1g05000	GO:0005506, GO:0016491, GO:0016705, GO:0031418, GO:0055114
Bradi1g05010	
Bradi1g05020	
Bradi1g05030	GO:0006810, GO:0016021, GO:0016192
Bradi1g05037	GO:0046983
Bradi1g05050	GO:0004605
Bradi1g05056	
Bradi1g05062	GO:0003676, GO:0005524
Bradi1g05070	
Bradi1g05080	
Bradi1g05090	GO:0004672, GO:0004713, GO:0005524, GO:0006468
Bradi1g05100	
Bradi1g05110	GO:0000166, GO:0003676
Bradi1g05116	GO:0003919, GO:0009231
Bradi1g05122	GO:0005488, GO:0008565, GO:0015031, GO:0030904, GO:0042147
Bradi1g05130	GO:0005515
Bradi1g05141	GO:0006662, GO:0015035, GO:0045454
Bradi1g05150	GO:0006662, GO:0015035, GO:0045454
Bradi1g05156	
Bradi1g05162	GO:0003676, GO:0005515
Bradi1g05170	GO:0005515
Bradi1g05175	
Bradi1g05180	GO:0016021, GO:0055085
Bradi1g05190	GO:0005515
Bradi1g05192	
Bradi1g05195	
Bradi1g05198	
Bradi1g05202	GO:0000175, GO:0003723, GO:0006396
Bradi1g05205	
Bradi1g05208	
Bradi1g05211	GO:0008299
Bradi1g05214	GO:0008299
Bradi1g05217	
Bradi1g05230	
Bradi1g05240	GO:0000287, GO:0003924, GO:0005525
Bradi1g05251	GO:0005515, GO:0008270
Bradi1g05260	
Bradi1g05270	
Bradi1g05276	
Bradi1g05290	
Bradi1g05296	GO:0005515
Bradi1g05301	
Bradi1g05306	
Bradi1g05310	GO:0044780
Bradi1g05320	
Bradi1g05325	GO:0005515
Bradi1g05330	GO:0000786, GO:0003677, GO:0005634, GO:0006334
Bradi1g05340	GO:0003735, GO:0005840, GO:0006412, GO:0015935
Bradi1g05346	GO:0003700, GO:0006213, GO:0006355, GO:0016763, GO:0043565
Bradi1g05360	
Bradi1g05371	
Bradi1g05380	GO:0003682, GO:0008168
Bradi1g05390	GO:0005515, GO:0008270, GO:0046872
Bradi1g05397	GO:0005515
Bradi1g05410	GO:0005634, GO:0006355
Bradi1g05420	
Bradi1g05430	GO:0046983
Bradi1g05441	
Bradi1g05450	GO:0000105, GO:0003824, GO:0004834, GO:0006568, GO:0008152
Bradi1g05460	GO:0003824, GO:0004834, GO:0006568, GO:0008152
Bradi1g05467	GO:0003824, GO:0004834, GO:0006568, GO:0008152
Bradi1g05480	GO:0003700, GO:0006355, GO:0043565
Bradi1g05490	GO:0003924, GO:0005525
Bradi1g05500	
